BID,Nearest_FID,N_Metric_dyne,N_Metric_dyn1,N_Metric_dyn2,N_Metric_dyn3,block_M
1000515,7413,-0.0463917525773196,-0.0463917525773196,-0.0463917525773196,-0.0463917525773196,0.0463917525773196
1001514,7537,-0.871134020618557,-0.871134020618557,-0.871134020618557,-0.871134020618557,0.860824742268041
1001515,7537,-0.443298969072165,-0.443298969072165,-0.443298969072165,-0.443298969072165,0.438144329896907
1002514,7537,0.0,0.0,0.0,0.0,0.88659793814433
1003514,7537,0.0,0.0,0.0,0.0,0.989690721649485
1003515,7537,-0.458762886597938,-0.458762886597938,-0.458762886597938,-0.458762886597938,0.45360824742268
1004515,7537,0.0,0.0,0.0,0.0,0.891752577319588
1005514,7537,0.0,0.0,0.0,0.0,0.984536082474227
1005515,7413,0.0,0.0,0.0,0.0,0.0592783505154639
1006514,7537,0.0,0.0,0.0,0.0,0.93298969072165
1006515,7537,0.0,0.0,0.0,0.0,0.154639175257732
1007515,7537,0.0,0.0,0.0,0.0,0.118556701030928
1008514,7537,0.0,0.0,0.0,0.0,0.974226804123711
1008515,7537,0.0,0.0,0.0,0.0,0.34020618556701
1008516,9689,-0.319587628865979,-0.319587628865979,-0.319587628865979,-0.319587628865979,0.345360824742268
1009515,7537,-0.479381443298969,-0.479381443298969,-0.479381443298969,-0.479381443298969,0.463917525773196
1009516,9689,-0.268041237113402,0.0,-0.268041237113402,-0.268041237113402,0.252577319587629
1010514,7537,0.0,0.0,0.0,0.0,0.927835051546392
1010515,7537,-0.487113402061856,-0.487113402061856,-0.487113402061856,-0.487113402061856,0.474226804123711
1011514,7537,0.0,0.0,0.0,0.0,0.793814432989691
1011515,7537,-0.448453608247423,-0.448453608247423,-0.448453608247423,-0.448453608247423,0.443298969072165
1011516,9689,0.0,0.0,0.0,0.0,0.84020618556701
1012514,7537,0.0,0.0,0.0,0.0,0.798969072164949
1012515,7537,0.0,0.0,0.0,0.0,0.360824742268041
1012516,9689,0.0,0.0,0.0,0.0,0.778350515463918
1013514,7537,0.0,0.0,0.0,0.0,0.871134020618557
1013515,7537,-0.438144329896907,-0.438144329896907,-0.438144329896907,-0.438144329896907,0.427835051546392
1013516,9689,0.0,-0.845360824742268,0.0,0.0,0.829896907216495
1014514,7537,0.0,0.0,0.0,0.0,0.917525773195876
1014515,7537,0.0,0.0,0.0,0.0,0.139175257731959
1014516,9689,0.0,-0.963917525773196,-0.963917525773196,-0.963917525773196,0.963917525773196
1015515,7413,0.0,0.0,0.0,0.0,0.0876288659793814
1015516,9689,0.0,0.0,0.0,0.0,0.943298969072165
1016514,7537,0.0,0.0,0.0,0.0,0.948453608247423
1016515,7413,0.0,0.0,0.0,0.0,0.0309278350515464
1016516,9689,0.0,0.0,0.0,0.0,0.81701030927835
1017514,7537,0.0,0.0,0.0,0.0,0.835051546391753
1017515,7413,0.0,0.0,0.0,0.0,0.0154639175257732
1017516,9689,-0.474226804123711,-0.474226804123711,-0.474226804123711,-0.474226804123711,0.469072164948454
1018514,7537,0.0,0.0,0.0,0.0,0.809278350515464
1018515,7413,0.0,0.0,0.0,0.0,0.175257731958763
1018516,9689,0.0,0.0,0.0,0.0,0.180412371134021
1019514,7537,0.0,0.0,0.0,0.0,0.979381443298969
1019515,7413,0.0,0.0,0.0,0.0,0.123711340206186
1019516,9689,0.0,0.0,0.0,0.0,0.0824742268041237
1020514,7537,0.0,0.0,0.0,0.0,0.855670103092783
1020515,7413,0.0,0.0,0.0,0.0,0.391752577319588
1020516,9689,0.0,0.0,0.0,0.0,0.185567010309278
1021514,7537,0.0,0.0,0.0,0.0,0.902061855670103
1021515,7413,0.0,0.0,0.0,0.0,0.376288659793814
1022515,7413,0.0,0.0,0.0,0.0,0.314432989690722
1023514,7537,-0.958762886597938,0.0,-0.958762886597938,-0.958762886597938,0.958762886597938
1023515,7413,0.0,0.0,0.0,0.0,0.206185567010309
1024514,7537,-0.917525773195876,-0.917525773195876,-0.917525773195876,-0.917525773195876,0.907216494845361
1024515,7413,0.0,0.0,0.0,0.0,0.242268041237113
1024516,9689,0.0,0.0,0.0,0.0,0.881443298969072
1025514,7537,0.0,0.0,-0.860824742268041,0.0,0.850515463917526
1025515,7413,0.0,0.0,0.0,0.0,0.365979381443299
1025516,9689,-0.45360824742268,-0.45360824742268,-0.45360824742268,-0.45360824742268,0.458762886597938
1026514,7537,0.0,-0.88659793814433,0.0,-0.88659793814433,0.876288659793814
1026515,7413,0.0,0.0,0.0,0.0,0.221649484536082
1026516,9689,0.0,0.0,0.0,0.0,0.319587628865979
1027515,7413,0.0,0.0,0.0,0.0,0.0412371134020619
1027516,9689,-0.252577319587629,-0.252577319587629,0.0,0.0,0.231958762886598
1028515,7413,0.0,0.0,0.0,0.0,0.0592783505154639
2000514,7537,0.0,0.0,0.0,0.0,0.81701030927835
2000515,7537,0.0,0.0,0.0,0.0,0.969072164948454
2001514,7537,0.0,0.0,0.0,0.0,0.530927835051546
2001515,7537,0.0,0.0,0.0,0.0,0.994845360824742
2002515,7537,0.0,0.0,0.0,0.0,0.896907216494845
2002516,9689,-0.463917525773196,-0.463917525773196,-0.463917525773196,-0.463917525773196,0.845360824742268
2003514,7537,0.0,0.0,0.0,0.0,0.65979381443299
2003515,7537,0.0,0.0,0.0,0.0,0.865979381443299
2003516,9689,-0.469072164948454,-0.469072164948454,-0.469072164948454,-0.469072164948454,0.912371134020619
2004514,7537,0.0,0.0,0.0,0.0,0.654639175257732
2004515,7537,-0.43298969072165,-0.43298969072165,-0.43298969072165,-0.43298969072165,0.422680412371134
2004516,9689,-0.95360824742268,-0.95360824742268,0.0,0.0,0.95360824742268
2005514,7537,0.0,0.0,0.0,-0.654639175257732,0.639175257731959
2005515,7537,-0.324742268041237,-0.324742268041237,-0.324742268041237,-0.324742268041237,0.324742268041237
2005516,9689,-0.494845360824742,-0.494845360824742,-0.494845360824742,-0.494845360824742,0.938144329896907
2006515,7413,0.0,0.0,0.0,0.0,0.170103092783505
2006516,9689,0.0,-0.350515463917526,0.0,0.0,0.329896907216495
2007515,7413,-0.278350515463918,-0.278350515463918,-0.278350515463918,-0.278350515463918,0.27319587628866
2007516,9689,-0.417525773195876,-0.417525773195876,-0.417525773195876,-0.417525773195876,0.412371134020619
2008515,7413,-0.262886597938144,-0.262886597938144,-0.262886597938144,-0.262886597938144,0.407216494845361
2008516,9689,-0.378865979381443,-0.378865979381443,-0.378865979381443,-0.378865979381443,0.371134020618557
2009514,7537,0.0,0.0,-0.77319587628866,0.0,0.757731958762887
2009515,7413,0.0,0.0,0.0,0.0,0.164948453608247
2009516,9689,-0.412371134020619,-0.412371134020619,-0.412371134020619,-0.412371134020619,0.38659793814433
2010514,7537,0.0,0.0,0.0,0.0,0.737113402061856
2010515,7413,0.0,0.0,0.0,0.0,0.237113402061856
2010516,9689,0.0,-0.237113402061856,0.0,0.0,0.262886597938144
2011515,7413,0.0,0.0,0.0,0.0,0.216494845360825
2011516,9689,-0.427835051546392,-0.427835051546392,-0.427835051546392,-0.427835051546392,0.43298969072165
2012515,7413,0.0,0.0,0.0,0.0,0.257731958762887
2012516,9689,-0.231958762886598,-0.231958762886598,-0.231958762886598,-0.231958762886598,0.293814432989691
2013515,7413,0.0,0.0,0.0,0.0,0.283505154639175
2013516,9689,-0.371134020618557,-0.371134020618557,-0.371134020618557,-0.371134020618557,0.448453608247423
2014515,7413,0.0,0.0,0.0,0.0,0.309278350515464
2015515,7413,0.0,0.0,0.0,0.0,0.355670103092784
2016515,7413,0.0,0.0,0.0,0.0,0.396907216494845
2016516,9689,0.0,-0.309278350515464,0.0,0.0,0.298969072164948
2017515,7413,0.0,0.0,0.0,0.0,0.335051546391753
2017516,9689,0.0,0.0,0.0,0.0,0.134020618556701
2018515,7413,0.0,0.0,0.0,0.0,0.15979381443299
2018516,9689,-0.0206185567010309,0.0,0.0,0.0,0.0206185567010309
2019515,7413,0.0,0.0,0.0,0.0,0.381443298969072
2019516,9689,-0.0515463917525773,0.0,0.0,0.0,0.0515463917525773
2020515,7413,-0.38659793814433,-0.38659793814433,-0.38659793814433,-0.38659793814433,0.402061855670103
2020516,9689,-0.0103092783505155,-0.0103092783505155,0.0,0.0,0.0103092783505155
2021516,9689,-0.257731958762887,0.0,-0.257731958762887,-0.257731958762887,0.247422680412371
2022515,7537,-1.0,-1.0,0.0,-1.0,1.0
2022516,9689,-0.422680412371134,-0.422680412371134,-0.422680412371134,-0.422680412371134,0.417525773195876
2023516,9689,0.0,0.0,0.0,0.0,0.108247422680412
2024516,9689,0.0,-0.077319587628866,0.0,0.0,0.077319587628866
2025516,9689,0.0,-0.0979381443298969,0.0,0.0,0.100515463917526
2026516,9689,0.0,0.0,0.0,0.0,0.0360824742268041
2027516,9689,-0.0051546391752577,0.0,0.0,0.0,0.0051546391752577
2029516,9689,0.0,-0.139175257731959,0.0,0.0,0.144329896907216
2030516,9689,0.0,-0.22680412371134,-0.22680412371134,-0.22680412371134,0.22680412371134
2034516,7413,0.0,0.0,0.0,0.0,0.0257731958762887
2035516,7413,0.0,0.0,0.0,0.0,0.0721649484536082
2036516,7413,0.0,0.0,0.0,0.0,0.11340206185567
2037516,7413,0.0,0.0,0.0,0.0,0.0927835051546392
2038516,7413,0.0,0.0,0.0,0.0,0.128865979381443
2039516,9689,-0.195876288659794,0.0,-0.195876288659794,-0.195876288659794,0.195876288659794
2040516,9689,-0.190721649484536,0.0,0.0,0.0,0.190721649484536
2041516,9689,0.0,0.0,0.0,0.0,0.0670103092783505
2042516,7413,0.0,0.0,0.0,0.0,0.288659793814433
2045516,9689,0.0,0.0,0.0,0.0,0.211340206185567
2046516,9689,-0.15979381443299,-0.15979381443299,-0.15979381443299,-0.15979381443299,0.149484536082474
2047516,7413,0.0,0.0,0.0,0.0,0.100515463917526
2048516,7413,0.0,0.0,0.0,0.0,0.201030927835052
2049516,7413,0.0,0.0,0.0,0.0,0.304123711340206
2050516,7413,0.0,0.0,0.0,0.0,0.268041237113402
2051516,7413,0.0,0.0,0.0,0.0,0.278350515463918
2052516,7413,0.0,0.0,0.0,0.0,0.350515463917526
3000514,7413,-0.798969072164949,0.0,-0.798969072164949,-0.798969072164949,0.783505154639175
3001514,7413,0.0,0.0,0.0,0.0,0.649484536082474
3002514,7413,0.0,0.0,0.0,0.0,0.536082474226804
3003514,7413,0.0,0.0,0.0,0.0,0.690721649484536
3005514,7413,0.0,0.0,0.0,0.0,0.922680412371134
3006514,7413,0.0,0.0,0.0,0.0,0.695876288659794
3007514,7413,0.0,0.0,0.0,0.0,0.520618556701031
3010514,7413,0.0,0.0,0.0,0.0,0.68298969072165
3011514,7413,0.0,0.0,0.0,0.0,0.497422680412371
3012514,7413,0.0,0.0,0.0,0.0,0.618556701030928
3013514,7413,0.0,0.0,-0.623711340206186,0.0,0.608247422680412
3014514,7413,-0.487113402061856,0.0,-0.487113402061856,-0.487113402061856,0.479381443298969
3015514,7413,0.0,0.0,0.0,0.0,0.56701030927835
3016514,7413,0.0,0.0,0.0,0.0,0.752577319587629
3017514,7413,0.0,0.0,0.0,0.0,0.711340206185567
3018514,7413,0.0,0.0,0.0,0.0,0.623711340206186
3019514,7413,0.0,0.0,0.0,0.0,0.644329896907217
3020514,7413,0.0,0.0,0.0,0.0,0.510309278350515
3021514,7413,0.0,0.0,0.0,0.0,0.631443298969072
3025514,7537,0.0,0.0,0.0,0.0,0.72680412371134
3026514,7537,0.0,0.0,0.0,0.0,0.744845360824742
3027514,7537,0.0,0.0,0.0,0.0,0.489690721649485
3028514,7537,0.0,0.0,0.0,0.0,0.551546391752577
3029514,7537,0.0,0.0,0.0,0.0,0.556701030927835
3030514,7537,0.0,0.0,0.0,0.0,0.788659793814433
3031514,7537,0.0,0.0,0.0,0.0,0.664948453608247
3032514,7537,0.0,0.0,0.0,0.0,0.824742268041237
3033514,7537,0.0,0.0,0.0,0.0,0.77319587628866
3034514,7537,0.0,0.0,0.0,0.0,0.577319587628866
3036514,7537,0.0,0.0,0.0,0.0,0.804123711340206
3037514,7537,0.0,0.0,0.0,0.0,0.768041237113402
3038514,7537,0.0,0.0,0.0,0.0,0.541237113402062
3039514,7537,0.0,0.0,-0.646907216494845,-0.646907216494845,0.631443298969072
3040514,7413,0.0,0.0,-0.603092783505155,0.0,0.587628865979381
3041514,7413,0.0,0.0,-0.628865979381443,0.0,0.61340206185567
3042514,7413,0.0,0.0,0.0,0.0,0.54639175257732
3043514,7413,0.0,0.0,0.0,0.0,0.731958762886598
3044514,7413,0.0,0.0,0.0,0.0,0.572164948453608
3045514,7413,0.0,0.0,0.0,0.0,0.505154639175258
3046514,7413,0.0,0.0,0.0,0.0,0.582474226804124
3047514,7413,0.0,0.0,0.0,0.0,0.525773195876289
3048514,7413,0.0,0.0,0.0,0.0,0.744845360824742
3049514,7413,0.0,0.0,0.0,0.0,0.592783505154639
3050514,7413,0.0,0.0,0.0,0.0,0.603092783505155
3051514,7413,0.0,0.0,0.0,0.0,0.484536082474227
3052514,7413,0.0,0.0,0.0,0.0,0.561855670103093
3054514,7413,0.0,0.0,0.0,0.0,0.721649484536082
3056514,7413,0.0,0.0,0.0,0.0,0.68298969072165
3057514,7413,0.0,0.0,0.0,0.0,0.701030927835051
3058514,7413,0.0,0.0,0.0,0.0,0.675257731958763
3059514,7413,0.0,0.0,0.0,0.0,0.497422680412371
3060514,7413,0.0,0.0,0.0,-0.721649484536082,0.706185567010309
3061514,7413,0.0,0.0,0.0,0.0,0.597938144329897
3062514,7413,0.0,0.0,0.0,0.0,0.670103092783505
3063514,7413,0.0,0.0,0.0,0.0,0.515463917525773
3064514,7413,0.0,0.0,0.0,0.0,0.716494845360825
3066514,7413,0.0,0.0,0.0,-0.778350515463918,0.762886597938144
